customer_id,renewal_date,renewal_days,contract_term_months,payment_status,requested_seat_reduction_pct,pricing_objection
CUST-0001,2026-11-02,94,36,Due Soon,0,False
CUST-0002,2026-08-26,26,36,Current,0,True
CUST-0003,2027-04-27,270,24,Due Soon,0,False
CUST-0004,2027-02-20,204,12,Current,0,False
CUST-0005,2027-01-06,159,24,Current,0,False
CUST-0006,2026-10-02,63,24,Due Soon,0,False
CUST-0007,2026-11-06,98,36,Delayed,10,True
CUST-0008,2026-11-15,107,12,Current,0,False
CUST-0009,2026-10-12,73,12,Current,0,False
CUST-0010,2027-06-11,315,24,Current,0,False
CUST-0011,2027-05-24,297,24,Due Soon,0,False
CUST-0012,2026-10-02,63,36,Delayed,25,True
CUST-0013,2027-02-02,186,36,Current,0,False
CUST-0014,2027-07-08,342,36,Current,0,False
CUST-0015,2026-12-14,136,36,Current,0,False
CUST-0016,2027-01-12,165,36,Current,0,False
CUST-0017,2026-11-18,110,12,Current,0,False
CUST-0018,2027-06-08,312,12,Current,0,False
CUST-0019,2026-10-16,77,24,Delayed,25,True
CUST-0020,2026-08-29,29,12,Delayed,20,True
CUST-0021,2027-01-21,174,36,Due Soon,0,False
CUST-0022,2026-10-05,66,36,Current,0,False
CUST-0023,2026-11-08,100,36,Current,0,True
CUST-0024,2027-04-04,247,12,Current,0,False
CUST-0025,2027-07-27,361,12,Current,0,False
CUST-0026,2026-11-10,102,12,Current,0,False
CUST-0027,2026-11-22,114,24,Current,0,False
CUST-0028,2027-04-11,254,12,Due Soon,0,False
CUST-0029,2027-02-01,185,36,Due Soon,0,False
CUST-0030,2027-01-16,169,36,Due Soon,0,False
CUST-0031,2027-04-11,254,12,Current,0,False
CUST-0032,2027-04-08,251,36,Current,0,False
CUST-0033,2027-07-05,339,24,Current,0,False
CUST-0034,2026-09-23,54,36,Delayed,10,True
CUST-0035,2027-01-14,167,36,Current,0,False
CUST-0036,2026-11-27,119,24,Due Soon,0,False
CUST-0037,2027-01-19,172,12,Due Soon,0,False
CUST-0038,2027-07-21,355,24,Current,0,False
CUST-0039,2027-04-27,270,24,Due Soon,0,False
CUST-0040,2027-02-16,200,24,Current,0,False
CUST-0041,2026-11-20,112,24,Due Soon,0,False
CUST-0042,2027-05-10,283,24,Due Soon,0,False
CUST-0043,2027-06-07,311,12,Due Soon,0,False
CUST-0044,2026-10-14,75,24,Current,0,False
CUST-0045,2027-02-11,195,12,Due Soon,0,False
CUST-0046,2027-05-20,293,12,Due Soon,0,False
CUST-0047,2027-03-29,241,12,Current,0,False
CUST-0048,2026-10-10,71,36,Due Soon,0,True
CUST-0049,2027-07-16,350,24,Current,0,False
CUST-0050,2026-12-12,134,24,Current,0,False
CUST-0051,2026-10-20,81,36,Delayed,25,True
CUST-0052,2026-08-28,28,36,Current,0,True
CUST-0053,2026-11-19,111,24,Current,0,False
CUST-0054,2026-10-16,77,12,Delayed,15,True
CUST-0055,2026-10-23,84,12,Current,0,True
CUST-0056,2027-05-12,285,36,Current,0,False
CUST-0057,2027-05-17,290,36,Current,0,False
CUST-0058,2027-03-30,242,24,Due Soon,0,False
CUST-0059,2027-01-01,154,24,Current,0,False
CUST-0060,2027-03-14,226,12,Current,0,False
CUST-0061,2026-10-04,65,24,Due Soon,0,False
CUST-0062,2026-10-28,89,24,Current,0,True
CUST-0063,2027-01-21,174,36,Current,0,False
CUST-0064,2027-06-26,330,36,Due Soon,0,False
CUST-0065,2026-11-14,106,24,Due Soon,0,False
CUST-0066,2026-10-06,67,36,Due Soon,0,True
CUST-0067,2027-04-20,263,24,Current,0,False
CUST-0068,2026-12-30,152,36,Due Soon,0,False
CUST-0069,2026-12-27,149,24,Current,0,False
CUST-0070,2027-02-08,192,36,Due Soon,0,False
CUST-0071,2027-03-13,225,24,Current,0,False
CUST-0072,2027-05-10,283,12,Current,0,False
CUST-0073,2027-05-14,287,36,Current,0,False
CUST-0074,2026-10-20,81,24,Current,0,False
CUST-0075,2026-10-22,83,12,Delayed,15,True
CUST-0076,2026-09-13,44,12,Due Soon,0,True
CUST-0077,2027-01-12,165,24,Due Soon,0,False
CUST-0078,2027-07-28,362,12,Current,0,False
CUST-0079,2027-05-30,303,24,Current,0,False
CUST-0080,2026-10-26,87,36,Current,0,True
CUST-0081,2027-07-12,346,12,Current,0,False
CUST-0082,2027-07-19,353,36,Current,0,False
CUST-0083,2026-12-24,146,36,Current,0,False
CUST-0084,2027-04-09,252,12,Current,0,False
CUST-0085,2027-04-14,257,12,Current,0,False
CUST-0086,2026-08-30,30,24,Current,0,True
CUST-0087,2027-01-27,180,24,Current,0,False
CUST-0088,2027-04-07,250,12,Current,0,False
CUST-0089,2027-05-28,301,24,Current,0,False
CUST-0090,2026-09-16,47,12,Due Soon,0,True
CUST-0091,2027-07-13,347,36,Current,0,False
CUST-0092,2027-05-11,284,36,Current,0,False
CUST-0093,2026-12-26,148,24,Current,0,False
CUST-0094,2027-04-22,265,24,Current,0,False
CUST-0095,2027-04-25,268,24,Current,0,False
CUST-0096,2026-10-06,67,24,Current,0,False
CUST-0097,2027-06-26,330,24,Due Soon,0,False
CUST-0098,2027-01-05,158,24,Current,0,False
CUST-0099,2026-12-09,131,24,Due Soon,0,False
CUST-0100,2026-10-23,84,12,Due Soon,0,False
