customer_id,customer_name,industry,segment,arr,contract_start_date,account_owner,lifecycle_stage,risk_profile,known_churn_outcome
CUST-0001,Customer 001,Technology,Enterprise,155802.68,2024-01-06,CSM 12,Adoption,healthy,False
CUST-0002,Customer 002,Logistics,Enterprise,107945.67,2022-12-17,CSM 02,Growth,competitor_risk,True
CUST-0003,Customer 003,Technology,Mid-Market,78701.47,2025-08-14,CSM 12,Mature,support_escalation,True
CUST-0004,Customer 004,Retail,Mid-Market,77360.45,2022-07-05,CSM 06,Renewal,support_escalation,True
CUST-0005,Customer 005,Healthcare,Mid-Market,31955.94,2024-05-11,CSM 02,Renewal,seasonal_decline,False
CUST-0006,Customer 006,Education,Enterprise,234057.02,2022-09-18,CSM 07,Adoption,support_escalation,True
CUST-0007,Customer 007,Media,Enterprise,244338.04,2025-12-09,CSM 12,Adoption,commercial_risk,True
CUST-0008,Customer 008,Healthcare,Mid-Market,89148.83,2024-02-04,CSM 02,Mature,healthy,False
CUST-0009,Customer 009,Retail,Mid-Market,52763.57,2024-07-08,CSM 04,Renewal,support_escalation,True
CUST-0010,Customer 010,Retail,Enterprise,233534.97,2022-11-15,CSM 04,Growth,champion_departure,False
CUST-0011,Customer 011,Technology,Enterprise,271153.56,2026-01-22,CSM 01,Growth,healthy,False
CUST-0012,Customer 012,Manufacturing,Enterprise,116547.15,2024-09-20,CSM 10,Renewal,commercial_risk,True
CUST-0013,Customer 013,Education,Mid-Market,35715.37,2026-01-28,CSM 03,Growth,usage_decline,True
CUST-0014,Customer 014,Logistics,Enterprise,324455.72,2025-10-01,CSM 07,Renewal,usage_decline,True
CUST-0015,Customer 015,Education,Mid-Market,31818.21,2025-04-30,CSM 01,Adoption,seasonal_decline,False
CUST-0016,Customer 016,Healthcare,Mid-Market,53857.55,2024-11-02,CSM 10,Mature,healthy,False
CUST-0017,Customer 017,Healthcare,Enterprise,270427.59,2022-07-15,CSM 09,Renewal,seasonal_decline,False
CUST-0018,Customer 018,Logistics,Enterprise,139539.44,2024-02-13,CSM 01,Renewal,healthy,False
CUST-0019,Customer 019,Healthcare,Strategic,828785.21,2025-04-26,CSM 05,Growth,commercial_risk,True
CUST-0020,Customer 020,Financial Services,Mid-Market,69920.84,2025-06-30,CSM 08,Adoption,commercial_risk,True
CUST-0021,Customer 021,Technology,Mid-Market,29344.39,2024-03-12,CSM 10,Adoption,healthy,False
CUST-0022,Customer 022,Retail,Mid-Market,34629.36,2022-11-10,CSM 08,Growth,usage_decline,True
CUST-0023,Customer 023,Technology,Mid-Market,94668.51,2024-11-04,CSM 12,Growth,competitor_risk,True
CUST-0024,Customer 024,Media,Enterprise,209525.02,2026-03-28,CSM 09,Mature,healthy,False
CUST-0025,Customer 025,Financial Services,Mid-Market,69123.15,2024-05-14,CSM 04,Growth,healthy,False
CUST-0026,Customer 026,Technology,Mid-Market,30055.02,2022-10-20,CSM 01,Renewal,champion_departure,False
CUST-0027,Customer 027,Education,Mid-Market,41067.76,2026-03-23,CSM 03,Mature,healthy,False
CUST-0028,Customer 028,Technology,Mid-Market,32074.43,2024-10-02,CSM 11,Mature,usage_decline,True
CUST-0029,Customer 029,Healthcare,Mid-Market,29545.95,2022-10-10,CSM 12,Renewal,healthy,False
CUST-0030,Customer 030,Technology,Enterprise,234071.44,2023-07-19,CSM 03,Mature,healthy,False
CUST-0031,Customer 031,Education,Mid-Market,85601.67,2022-11-23,CSM 09,Adoption,usage_decline,True
CUST-0032,Customer 032,Healthcare,Mid-Market,94477.52,2022-07-22,CSM 04,Growth,seasonal_decline,False
