stakeholder_id,customer_id,name,role,is_champion,active,last_engagement_date
CUST-0001-STK-01,CUST-0001,Stakeholder 1,Technical Lead,True,True,2026-07-10
CUST-0001-STK-02,CUST-0001,Stakeholder 2,Operations Manager,False,True,2026-07-21
CUST-0001-STK-03,CUST-0001,Stakeholder 3,Procurement,False,True,2026-07-28
CUST-0001-STK-04,CUST-0001,Stakeholder 4,Operations Manager,False,True,2026-07-15
CUST-0001-STK-05,CUST-0001,Stakeholder 5,Procurement,False,True,2026-07-05
CUST-0002-STK-01,CUST-0002,Stakeholder 1,Business Champion,True,True,2026-07-25
CUST-0002-STK-02,CUST-0002,Stakeholder 2,Executive Sponsor,False,True,2026-07-09
CUST-0002-STK-03,CUST-0002,Stakeholder 3,Operations Manager,False,True,2026-07-24
CUST-0002-STK-04,CUST-0002,Stakeholder 4,Executive Sponsor,False,True,2026-06-25
CUST-0003-STK-01,CUST-0003,Stakeholder 1,Executive Sponsor,True,True,2026-06-24
CUST-0003-STK-02,CUST-0003,Stakeholder 2,Technical Lead,False,True,2026-07-14
CUST-0003-STK-03,CUST-0003,Stakeholder 3,Business Champion,False,True,2026-07-03
CUST-0003-STK-04,CUST-0003,Stakeholder 4,Operations Manager,False,True,2026-06-28
CUST-0004-STK-01,CUST-0004,Stakeholder 1,Executive Sponsor,True,True,2026-06-21
CUST-0004-STK-02,CUST-0004,Stakeholder 2,Business Champion,False,True,2026-07-02
CUST-0004-STK-03,CUST-0004,Stakeholder 3,Business Champion,False,True,2026-07-18
CUST-0004-STK-04,CUST-0004,Stakeholder 4,Business Champion,False,True,2026-07-15
CUST-0005-STK-01,CUST-0005,Stakeholder 1,Executive Sponsor,True,True,2026-07-13
CUST-0005-STK-02,CUST-0005,Stakeholder 2,Procurement,False,True,2026-07-11
CUST-0005-STK-03,CUST-0005,Stakeholder 3,Technical Lead,False,True,2026-07-07
CUST-0006-STK-01,CUST-0006,Stakeholder 1,Executive Sponsor,True,True,2026-07-23
CUST-0006-STK-02,CUST-0006,Stakeholder 2,Technical Lead,False,True,2026-07-26
CUST-0006-STK-03,CUST-0006,Stakeholder 3,Technical Lead,False,True,2026-07-20
CUST-0006-STK-04,CUST-0006,Stakeholder 4,Operations Manager,False,True,2026-06-24
CUST-0006-STK-05,CUST-0006,Stakeholder 5,Procurement,False,True,2026-07-26
CUST-0007-STK-01,CUST-0007,Stakeholder 1,Executive Sponsor,True,True,2026-07-07
CUST-0007-STK-02,CUST-0007,Stakeholder 2,Business Champion,False,True,2026-06-27
CUST-0007-STK-03,CUST-0007,Stakeholder 3,Procurement,False,True,2026-07-01
CUST-0007-STK-04,CUST-0007,Stakeholder 4,Procurement,False,True,2026-07-26
CUST-0008-STK-01,CUST-0008,Stakeholder 1,Executive Sponsor,True,True,2026-07-20
CUST-0008-STK-02,CUST-0008,Stakeholder 2,Procurement,False,True,2026-07-27
CUST-0009-STK-01,CUST-0009,Stakeholder 1,Business Champion,True,True,2026-07-25
CUST-0009-STK-02,CUST-0009,Stakeholder 2,Operations Manager,False,True,2026-07-15
CUST-0010-STK-01,CUST-0010,Stakeholder 1,Procurement,True,False,2026-04-02
CUST-0010-STK-02,CUST-0010,Stakeholder 2,Operations Manager,False,True,2026-05-11
CUST-0010-STK-03,CUST-0010,Stakeholder 3,Executive Sponsor,False,True,2026-04-03
CUST-0010-STK-04,CUST-0010,Stakeholder 4,Business Champion,False,True,2026-03-25
CUST-0011-STK-01,CUST-0011,Stakeholder 1,Technical Lead,True,True,2026-07-15
CUST-0011-STK-02,CUST-0011,Stakeholder 2,Executive Sponsor,False,True,2026-07-17
CUST-0012-STK-01,CUST-0012,Stakeholder 1,Technical Lead,True,True,2026-07-07
CUST-0012-STK-02,CUST-0012,Stakeholder 2,Technical Lead,False,True,2026-07-25
CUST-0012-STK-03,CUST-0012,Stakeholder 3,Procurement,False,True,2026-06-26
CUST-0013-STK-01,CUST-0013,Stakeholder 1,Procurement,True,True,2026-06-22
CUST-0013-STK-02,CUST-0013,Stakeholder 2,Executive Sponsor,False,True,2026-06-27
CUST-0013-STK-03,CUST-0013,Stakeholder 3,Procurement,False,True,2026-07-01
CUST-0014-STK-01,CUST-0014,Stakeholder 1,Operations Manager,True,True,2026-07-15
CUST-0014-STK-02,CUST-0014,Stakeholder 2,Operations Manager,False,True,2026-07-12
CUST-0014-STK-03,CUST-0014,Stakeholder 3,Technical Lead,False,True,2026-07-26
CUST-0015-STK-01,CUST-0015,Stakeholder 1,Business Champion,True,True,2026-07-09
CUST-0015-STK-02,CUST-0015,Stakeholder 2,Operations Manager,False,True,2026-07-28
CUST-0016-STK-01,CUST-0016,Stakeholder 1,Business Champion,True,True,2026-07-07
CUST-0016-STK-02,CUST-0016,Stakeholder 2,Technical Lead,False,True,2026-07-13
CUST-0016-STK-03,CUST-0016,Stakeholder 3,Procurement,False,True,2026-06-16
CUST-0016-STK-04,CUST-0016,Stakeholder 4,Operations Manager,False,True,2026-06-25
CUST-0016-STK-05,CUST-0016,Stakeholder 5,Business Champion,False,True,2026-07-02
CUST-0017-STK-01,CUST-0017,Stakeholder 1,Business Champion,True,True,2026-07-14
CUST-0017-STK-02,CUST-0017,Stakeholder 2,Technical Lead,False,True,2026-06-19
CUST-0018-STK-01,CUST-0018,Stakeholder 1,Executive Sponsor,True,True,2026-07-22
CUST-0018-STK-02,CUST-0018,Stakeholder 2,Technical Lead,False,True,2026-06-30
CUST-0019-STK-01,CUST-0019,Stakeholder 1,Operations Manager,True,True,2026-07-25
CUST-0019-STK-02,CUST-0019,Stakeholder 2,Operations Manager,False,True,2026-07-05
CUST-0020-STK-01,CUST-0020,Stakeholder 1,Technical Lead,True,True,2026-07-10
CUST-0020-STK-02,CUST-0020,Stakeholder 2,Operations Manager,False,True,2026-07-17
CUST-0021-STK-01,CUST-0021,Stakeholder 1,Procurement,True,True,2026-07-12
CUST-0021-STK-02,CUST-0021,Stakeholder 2,Operations Manager,False,True,2026-07-18
CUST-0022-STK-01,CUST-0022,Stakeholder 1,Operations Manager,True,True,2026-06-22
CUST-0022-STK-02,CUST-0022,Stakeholder 2,Operations Manager,False,True,2026-06-18
CUST-0022-STK-03,CUST-0022,Stakeholder 3,Procurement,False,True,2026-06-19
CUST-0022-STK-04,CUST-0022,Stakeholder 4,Operations Manager,False,True,2026-07-04
CUST-0022-STK-05,CUST-0022,Stakeholder 5,Technical Lead,False,True,2026-06-23
CUST-0023-STK-01,CUST-0023,Stakeholder 1,Executive Sponsor,True,True,2026-06-25
CUST-0023-STK-02,CUST-0023,Stakeholder 2,Technical Lead,False,True,2026-07-19
CUST-0023-STK-03,CUST-0023,Stakeholder 3,Operations Manager,False,True,2026-07-05
CUST-0023-STK-04,CUST-0023,Stakeholder 4,Operations Manager,False,True,2026-07-04
CUST-0023-STK-05,CUST-0023,Stakeholder 5,Operations Manager,False,True,2026-07-13
CUST-0024-STK-01,CUST-0024,Stakeholder 1,Technical Lead,True,True,2026-06-22
CUST-0024-STK-02,CUST-0024,Stakeholder 2,Executive Sponsor,False,True,2026-07-10
CUST-0024-STK-03,CUST-0024,Stakeholder 3,Executive Sponsor,False,True,2026-06-26
CUST-0025-STK-01,CUST-0025,Stakeholder 1,Operations Manager,True,True,2026-06-19
CUST-0025-STK-02,CUST-0025,Stakeholder 2,Business Champion,False,True,2026-07-17
CUST-0025-STK-03,CUST-0025,Stakeholder 3,Business Champion,False,True,2026-07-22
CUST-0025-STK-04,CUST-0025,Stakeholder 4,Business Champion,False,True,2026-07-14
CUST-0026-STK-01,CUST-0026,Stakeholder 1,Business Champion,True,False,2026-03-28
CUST-0026-STK-02,CUST-0026,Stakeholder 2,Procurement,False,True,2026-03-11
CUST-0026-STK-03,CUST-0026,Stakeholder 3,Operations Manager,False,True,2026-05-15
CUST-0026-STK-04,CUST-0026,Stakeholder 4,Procurement,False,True,2026-03-04
CUST-0027-STK-01,CUST-0027,Stakeholder 1,Operations Manager,True,True,2026-06-28
CUST-0027-STK-02,CUST-0027,Stakeholder 2,Business Champion,False,True,2026-07-03
CUST-0028-STK-01,CUST-0028,Stakeholder 1,Procurement,True,True,2026-07-02
CUST-0028-STK-02,CUST-0028,Stakeholder 2,Executive Sponsor,False,True,2026-06-17
CUST-0029-STK-01,CUST-0029,Stakeholder 1,Business Champion,True,True,2026-07-15
CUST-0029-STK-02,CUST-0029,Stakeholder 2,Technical Lead,False,True,2026-06-23
CUST-0029-STK-03,CUST-0029,Stakeholder 3,Business Champion,False,True,2026-06-25
CUST-0029-STK-04,CUST-0029,Stakeholder 4,Operations Manager,False,True,2026-07-14
CUST-0029-STK-05,CUST-0029,Stakeholder 5,Technical Lead,False,True,2026-06-16
CUST-0030-STK-01,CUST-0030,Stakeholder 1,Business Champion,True,True,2026-06-25
CUST-0030-STK-02,CUST-0030,Stakeholder 2,Business Champion,False,True,2026-06-16
CUST-0030-STK-03,CUST-0030,Stakeholder 3,Operations Manager,False,True,2026-07-27
CUST-0030-STK-04,CUST-0030,Stakeholder 4,Technical Lead,False,True,2026-07-28
CUST-0031-STK-01,CUST-0031,Stakeholder 1,Procurement,True,True,2026-06-16
CUST-0031-STK-02,CUST-0031,Stakeholder 2,Executive Sponsor,False,True,2026-07-19
CUST-0031-STK-03,CUST-0031,Stakeholder 3,Operations Manager,False,True,2026-06-19
CUST-0031-STK-04,CUST-0031,Stakeholder 4,Procurement,False,True,2026-07-07
CUST-0032-STK-01,CUST-0032,Stakeholder 1,Operations Manager,True,True,2026-07-19
CUST-0032-STK-02,CUST-0032,Stakeholder 2,Procurement,False,True,2026-06-21
CUST-0033-STK-01,CUST-0033,Stakeholder 1,Operations Manager,True,True,2026-07-19
CUST-0033-STK-02,CUST-0033,Stakeholder 2,Procurement,False,True,2026-06-16
CUST-0033-STK-03,CUST-0033,Stakeholder 3,Technical Lead,False,True,2026-07-23
CUST-0033-STK-04,CUST-0033,Stakeholder 4,Operations Manager,False,True,2026-07-04
CUST-0034-STK-01,CUST-0034,Stakeholder 1,Technical Lead,True,True,2026-07-02
CUST-0034-STK-02,CUST-0034,Stakeholder 2,Executive Sponsor,False,True,2026-07-15
CUST-0034-STK-03,CUST-0034,Stakeholder 3,Executive Sponsor,False,True,2026-06-23
CUST-0034-STK-04,CUST-0034,Stakeholder 4,Procurement,False,True,2026-07-01
