customer_id,period_date,feature_name,active_users,purchased_seats,seat_utilization,feature_adoption_rate,api_calls
CUST-0001,2025-09-04,Analytics,439,628,0.699,0.5124,41266
CUST-0001,2025-09-04,Workflow Automation,439,628,0.699,0.5677,4829
CUST-0001,2025-09-04,API Integration,439,628,0.699,0.6613,42583
CUST-0001,2025-09-04,Executive Reporting,439,628,0.699,0.7781,7024
CUST-0001,2025-09-04,Collaboration,439,628,0.699,0.8508,32047
CUST-0001,2025-10-04,Analytics,432,628,0.6879,0.8466,17016
CUST-0001,2025-10-04,Workflow Automation,432,628,0.6879,0.6839,23997
CUST-0001,2025-10-04,API Integration,432,628,0.6879,0.4705,14834
CUST-0001,2025-10-04,Executive Reporting,432,628,0.6879,0.6915,41886
CUST-0001,2025-10-04,Collaboration,432,628,0.6879,0.7656,41014
CUST-0001,2025-11-03,Analytics,427,628,0.6799,0.4252,9581
CUST-0001,2025-11-03,Workflow Automation,427,628,0.6799,0.8469,40069
CUST-0001,2025-11-03,API Integration,427,628,0.6799,0.3717,28745
CUST-0001,2025-11-03,Executive Reporting,427,628,0.6799,0.3684,24390
CUST-0001,2025-11-03,Collaboration,427,628,0.6799,0.7528,9146
CUST-0001,2025-12-03,Analytics,446,628,0.7102,0.5297,28940
CUST-0001,2025-12-03,Workflow Automation,446,628,0.7102,0.4466,11943
CUST-0001,2025-12-03,API Integration,446,628,0.7102,0.7826,25725
CUST-0001,2025-12-03,Executive Reporting,446,628,0.7102,0.642,20212
CUST-0001,2025-12-03,Collaboration,446,628,0.7102,0.8068,19293
CUST-0001,2026-01-02,Analytics,451,628,0.7182,0.8693,22044
CUST-0001,2026-01-02,Workflow Automation,451,628,0.7182,0.7606,24859
CUST-0001,2026-01-02,API Integration,451,628,0.7182,0.7923,32363
CUST-0001,2026-01-02,Executive Reporting,451,628,0.7182,0.8796,13133
CUST-0001,2026-01-02,Collaboration,451,628,0.7182,0.7648,17823
CUST-0001,2026-02-01,Analytics,451,628,0.7182,0.7483,28413
CUST-0001,2026-02-01,Workflow Automation,451,628,0.7182,0.882,38357
CUST-0001,2026-02-01,API Integration,451,628,0.7182,0.5512,28413
CUST-0001,2026-02-01,Executive Reporting,451,628,0.7182,0.3577,36936
CUST-0001,2026-02-01,Collaboration,451,628,0.7182,0.418,26992
CUST-0001,2026-03-03,Analytics,443,628,0.7054,0.7198,39444
CUST-0001,2026-03-03,Workflow Automation,443,628,0.7054,0.5596,42731
CUST-0001,2026-03-03,API Integration,443,628,0.7054,0.8672,10800
CUST-0001,2026-03-03,Executive Reporting,443,628,0.7054,0.7212,32870
CUST-0001,2026-03-03,Collaboration,443,628,0.7054,0.3638,38035
CUST-0001,2026-04-02,Analytics,423,628,0.6736,0.6855,41640
CUST-0001,2026-04-02,Workflow Automation,423,628,0.6736,0.3848,31230
CUST-0001,2026-04-02,API Integration,423,628,0.6736,0.8502,21725
CUST-0001,2026-04-02,Executive Reporting,423,628,0.6736,0.7071,10862
CUST-0001,2026-04-02,Collaboration,423,628,0.6736,0.4269,6336
CUST-0001,2026-05-02,Analytics,425,628,0.6768,0.6209,10098
CUST-0001,2026-05-02,Workflow Automation,425,628,0.6768,0.4791,35802
CUST-0001,2026-05-02,API Integration,425,628,0.6768,0.4246,31212
CUST-0001,2026-05-02,Executive Reporting,425,628,0.6768,0.5541,45441
CUST-0001,2026-05-02,Collaboration,425,628,0.6768,0.8703,28917
CUST-0001,2026-06-01,Analytics,449,628,0.715,0.7496,30832
CUST-0001,2026-06-01,Workflow Automation,449,628,0.715,0.7102,35237
CUST-0001,2026-06-01,API Integration,449,628,0.715,0.6886,22023
CUST-0001,2026-06-01,Executive Reporting,449,628,0.715,0.368,27896
CUST-0001,2026-06-01,Collaboration,449,628,0.715,0.4695,32301
CUST-0001,2026-07-01,Analytics,479,628,0.7627,0.8205,11591
CUST-0001,2026-07-01,Workflow Automation,479,628,0.7627,0.8895,30033
CUST-0001,2026-07-01,API Integration,479,628,0.7627,0.6495,48474
CUST-0001,2026-07-01,Executive Reporting,479,628,0.7627,0.5473,31614
CUST-0001,2026-07-01,Collaboration,479,628,0.7627,0.5017,13172
CUST-0001,2026-07-31,Analytics,484,628,0.7707,0.8033,11282
CUST-0001,2026-07-31,Workflow Automation,484,628,0.7707,0.7145,49426
CUST-0001,2026-07-31,API Integration,484,628,0.7707,0.7017,6446
CUST-0001,2026-07-31,Executive Reporting,484,628,0.7707,0.3778,27936
CUST-0001,2026-07-31,Collaboration,484,628,0.7707,0.484,13968
CUST-0002,2025-09-04,Analytics,260,310,0.8387,0.4639,9620
CUST-0002,2025-09-04,Workflow Automation,260,310,0.8387,0.7972,10140
CUST-0002,2025-09-04,API Integration,260,310,0.8387,0.5307,7280
CUST-0002,2025-09-04,Executive Reporting,260,310,0.8387,0.7838,22360
CUST-0002,2025-09-04,Collaboration,260,310,0.8387,0.3516,7280
CUST-0002,2025-10-04,Analytics,269,310,0.8677,0.6471,8608
CUST-0002,2025-10-04,Workflow Automation,269,310,0.8677,0.4105,3497
CUST-0002,2025-10-04,API Integration,269,310,0.8677,0.4225,14795
CUST-0002,2025-10-04,Executive Reporting,269,310,0.8677,0.7845,10760
CUST-0002,2025-10-04,Collaboration,269,310,0.8677,0.6739,3228
CUST-0002,2025-11-03,Analytics,236,310,0.7613,0.3788,14868
CUST-0002,2025-11-03,Workflow Automation,236,310,0.7613,0.6393,4248
CUST-0002,2025-11-03,API Integration,236,310,0.7613,0.6119,13216
CUST-0002,2025-11-03,Executive Reporting,236,310,0.7613,0.6323,5428
CUST-0002,2025-11-03,Collaboration,236,310,0.7613,0.5986,8968
CUST-0002,2025-12-03,Analytics,267,310,0.8613,0.3739,25098
CUST-0002,2025-12-03,Workflow Automation,267,310,0.8613,0.6368,18156
CUST-0002,2025-12-03,API Integration,267,310,0.8613,0.7038,3471
CUST-0002,2025-12-03,Executive Reporting,267,310,0.8613,0.3835,18957
CUST-0002,2025-12-03,Collaboration,267,310,0.8613,0.816,17088
CUST-0002,2026-01-02,Analytics,257,310,0.829,0.6196,16962
CUST-0002,2026-01-02,Workflow Automation,257,310,0.829,0.3904,5140
CUST-0002,2026-01-02,API Integration,257,310,0.829,0.5272,7196
CUST-0002,2026-01-02,Executive Reporting,257,310,0.829,0.3861,11565
CUST-0002,2026-01-02,Collaboration,257,310,0.829,0.6934,21588
CUST-0002,2026-02-01,Analytics,251,310,0.8097,0.5289,21586
CUST-0002,2026-02-01,Workflow Automation,251,310,0.8097,0.6418,17068
CUST-0002,2026-02-01,API Integration,251,310,0.8097,0.6281,16315
CUST-0002,2026-02-01,Executive Reporting,251,310,0.8097,0.4045,24849
CUST-0002,2026-02-01,Collaboration,251,310,0.8097,0.4129,23343
CUST-0002,2026-03-03,Analytics,256,310,0.8258,0.7729,9472
CUST-0002,2026-03-03,Workflow Automation,256,310,0.8258,0.5865,9984
CUST-0002,2026-03-03,API Integration,256,310,0.8258,0.5776,17408
